path,count,coverage,types
_id,2930,1.0,{'str': 2930}
extras,2930,1.0,{'dict': 2930}
identity,2930,1.0,{'dict': 2930}
identity.gender[],2930,1.0,"{'list': 2930, 'dict': 2930}"
identity.gender[].meta,2930,1.0,{'dict': 2930}
identity.gender[].meta.isComment,2930,1.0,{'bool': 2930}
identity.gender[].meta.isLink,2930,1.0,{'bool': 2930}
identity.gender[].value,2930,1.0,{'str': 2930}
identity.name[],2930,1.0,"{'list': 2930, 'dict': 2931}"
identity.name[].meta,2930,1.0,{'dict': 2931}
identity.name[].value,2930,1.0,{'str': 2931}
identity.status[],2930,1.0,"{'list': 2930, 'dict': 2930}"
identity.status[].meta,2930,1.0,{'dict': 2930}
identity.status[].value,2930,1.0,{'str': 2930}
link,2930,1.0,{'str': 2930}
raw[],2930,1.0,"{'list': 2930, 'str': 113074}"
reference,2930,1.0,{'str': 2930}
title,2930,1.0,{'str': 2930}
bibliography,2928,0.9993174061433447,{'dict': 2928}
identity.datesOfActivity[],2927,0.9989761092150171,"{'list': 2927, 'dict': 2955}"
identity.datesOfActivity[].meta,2927,0.9989761092150171,{'dict': 2955}
identity.datesOfActivity[].value,2927,0.9989761092150171,{'str': 2955}
identity.datesOfActivity[].meta.dates[],2926,0.9986348122866894,"{'list': 2933, 'dict': 2931}"
identity.datesOfActivity[].meta.dates[].type,2926,0.9986348122866894,{'str': 2931}
identity.datesOfActivity[].meta.dates[].endDate,2924,0.9979522184300341,"{'dict': 2924, 'NoneType': 1}"
identity.datesOfActivity[].meta.dates[].startDate,2924,0.9979522184300341,{'dict': 2925}
identity.datesOfActivity[].meta.dates[].startDate.date,2924,0.9979522184300341,{'int': 2925}
identity.datesOfActivity[].meta.dates[].startDate.type,2924,0.9979522184300341,{'str': 2925}
identity.datesOfActivity[].meta.dates[].endDate.date,2923,0.9976109215017065,{'int': 2924}
identity.datesOfActivity[].meta.dates[].endDate.type,2923,0.9976109215017065,{'str': 2924}
identity.nameVariant[],2923,0.9976109215017065,"{'list': 2923, 'dict': 5071}"
identity.nameVariant[].meta,2923,0.9976109215017065,{'dict': 5071}
identity.nameVariant[].value,2923,0.9976109215017065,{'str': 5071}
identity.nameVariant[].meta.names[],2922,0.9972696245733789,"{'list': 5062, 'str': 5069}"
extras.activityMediane,2917,0.9955631399317406,{'int': 2917}
identity.shortDescription[],2902,0.990443686006826,"{'list': 2902, 'dict': 2907}"
identity.shortDescription[].meta,2902,0.990443686006826,{'dict': 2907}
identity.shortDescription[].value,2902,0.990443686006826,{'str': 2907}
curriculum,2838,0.9686006825938567,{'dict': 2838}
bibliography.otherBases[],2823,0.9634812286689419,"{'list': 2823, 'dict': 3507}"
bibliography.otherBases[].meta,2823,0.9634812286689419,{'dict': 3507}
bibliography.otherBases[].value,2823,0.9634812286689419,{'str': 3507}
curriculum.university[],2814,0.9604095563139932,"{'list': 2814, 'dict': 3151}"
curriculum.university[].meta,2814,0.9604095563139932,{'dict': 3151}
curriculum.university[].value,2814,0.9604095563139932,{'str': 3151}
